Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
886314,NO,LOCAL,TERRASSA,AJUNTAMENT DE TERRASSA,10/02/2026,"Decreto 3731/2026, del 6 de febrero, de la concejala de Capacidades Diversas y Accesibilidad, por la que se convocan subvenciones para la mejora de la accesibilidad universal dirigidas a la mejora y adecuación del acceso desde la vía pública y/o de los el","Decret número 3732/2026, del 6 de febrer, de la regidora de Capacitats Diverses i Accessibilitat, pel que s’obre la convocatòria per a la concessió de subvencions per la millora de l’accessibilitat universal adreçades a la millora i adequació de l’accés d"
886312,NO,LOCAL,TOMELLOSO,AYUNTAMIENTO DE TOMELLOSO,10/02/2026,XXXIII Muestra de Teatro Escolar 2026,
886311,NO,AUTONOMICA,COMUNIDAD DE MADRID,"CONSEJERÍA DE CULTURA, TURISMO Y DEPORTE",10/02/2026,SUBVENCIÓN NOMINATIVA 2026 - TIRO CON ARCO,
886310,NO,AUTONOMICA,COMUNIDAD DE MADRID,"CONSEJERÍA DE CULTURA, TURISMO Y DEPORTE",10/02/2026,SUBVENCIÓN NOMINATIVA 2026 - TIRO OLÍMPICO,
886309,NO,LOCAL,TALAVERA DE LA REINA,AYUNTAMIENTO DE TALAVERA DE LA REINA,10/02/2026,Acuerdo de la Junta de Gobierno por el que se aprueban las bases reguladoras y la convocatoria del XIII Certamen Cerámica “Bastones de Mondas” 2026.,Acuerdo de la Junta de Gobierno por el que se aprueban las bases reguladoras y la convocatoria del XIII Certamen Cerámica “Bastones de Mondas” 2026.
886308,NO,LOCAL,BILBAO,AYUNTAMIENTO DE BILBAO,10/02/2026,TRANSFERENCIA CORRIENTE MUSEO MARíTIMO,
886307,NO,AUTONOMICA,COMUNIDAD DE MADRID,"CONSEJERÍA DE CULTURA, TURISMO Y DEPORTE",10/02/2026,SUBVENCIÓN NOMINATIVA 2026 - TRIATLÓN,
886306,NO,LOCAL,HONDARRIBIA,AYUNTAMIENTO DE HONDARRIBIA,10/02/2026,EGILUZE HIJAS DE LA CRUZ IKASTETXEA - SUBVENCIÓN NOMINATIVA COMPRA DE MATERIAL DEPORTIVO,EGILUZE HIJAS DE LA CRUZ IKASTETXEA - KIROL MATERIALA EROSTEKO DIRULAGUNTZA IZENDUNA
886305,NO,LOCAL,BILBAO,AYUNTAMIENTO DE BILBAO,10/02/2026,LAGUN ARTEAN ELKARTEA: CENTRO DE NOCHE- INTERVENCIóN SOCIOEDUCATIVA ALOJAMIENTO PERSONAS SIN HOGAR,
886304,NO,LOCAL,MÁLAGA,AYUNTAMIENTO DE MÁLAGA,10/02/2026,"SUBV. NOMINATIVA A LA FUNDACIÓN CIUDADANA CARNAVAL DE MÁLAGA, PROYECTO "CARNAVAL DE MÁLAGA 2026"",
886303,NO,LOCAL,TINEO,AYUNTAMIENTO DE TINEO,10/02/2026,SUBVENCION NOMINATIVA EJERCICIO 2025,
886302,NO,LOCAL,ZARAGOZA,AYUNTAMIENTO DE ZARAGOZA,10/02/2026,Convenio entre el Ayuntamiento de Zaragoza y la Sociedad Española de Ornitología para seguimiento de indicadores de biodiversidad en la ciudad de Zaragoza 2025,
886301,NO,AUTONOMICA,COMUNIDAD DE MADRID,"CONSEJERÍA DE CULTURA, TURISMO Y DEPORTE",10/02/2026,SUBVENCIÓN NOMINATIVA 2026 - VELA,
886300,NO,LOCAL,TOMELLOSO,AYUNTAMIENTO DE TOMELLOSO,10/02/2026,XXXVI Certamen literario del CEM 2026,
886299,NO,LOCAL,PAMPLONA/IRUÑA,AYUNTAMIENTO DE PAMPLONA/IRUÑA,10/02/2026,CONVOCATORIA SUBVENCIÓN DIVERSIDAD CULTURAL 2026,
886298,NO,LOCAL,MONTCADA I REIXAC,AYUNTAMIENTO DE MONTCADA I REIXAC,10/02/2026,CONVOCATORIA APORTACIONES SERVICIOS SOCIALES AÑO 2026,CONVOCATÒRIA APORTACIONS SERVEIS SOCIALS ANY 2026
886297,NO,LOCAL,PLASENCIA,AYUNTAMIENTO DE PLASENCIA,10/02/2026,SUMINISTRO DE INFORMACIÓN A LA BDNS DE APROBACIÓN DE SUBVENCIÓN DE CONCESIÓN DIRECTA (CONVENIO 2025 AYUNTAMIENTO DE PLASENCIA Y LA PEÑA FLAMENCA PLACENTINA),
886296,NO,LOCAL,GUADALAJARA,AYUNTAMIENTO DE GUADALAJARA,10/02/2026,Convenio nominativo entre el Ayuntamiento de Guadalajara y Salesianos Guadalajara 2025,
886294,NO,LOCAL,TORRELAVEGA,AYUNTAMIENTO DE TORRELAVEGA,10/02/2026,"Subvención directa (nominativa) a favor del Club Deportivo Elemental Grupo Alega Cantabria, para la participación en competiciones oficiales, fomento del deporte y actividad del club. Temporada 2024/2025",
886293,NO,LOCAL,PAMPLONA/IRUÑA,AYUNTAMIENTO DE PAMPLONA/IRUÑA,10/02/2026,SUBVENCIÓN DE PARTICIPACIÓN CIUDADANA 2026,
886292,NO,LOCAL,VANDELLÒS I L'HOSPITALET DE L'INFANT,AYUNTAMIENTO DE VANDELLÒS I L'HOSPITALET DE I'INFANT,10/02/2026,CONVENIO DE COLABORACIÓN ENTRE EL AYUNTAMIENTO DE VANDELLÒS I L'HOSPITALET DE L'INFANT Y EL CLUB CENTRE EXCURSIONISTA SERRES DEL MESTRAL. "LA PORTELLA" 2026,CONVENI DE COL·LABORACIÓ ENTRE L'AJUNTAMENT DE VANDELLÒS I L'HOSPITALET DE L'INFANT I EL CLUB CENTRE EXCURSIONISTA SERRES DEL MESTRAL. "LA PORTELLA" 2026
886291,NO,LOCAL,PAMPLONA/IRUÑA,AYUNTAMIENTO DE PAMPLONA/IRUÑA,10/02/2026,SUBVENCIÓN PARTICIPACIÓN DE MAYORES 2026,
886290,NO,LOCAL,QUART DE POBLET,AYUNTAMIENTO DE QUART DE POBLET,10/02/2026,"CONVOCATORIA DE AYUDAS AL ESTUDIO DE BACHILLERATO, FORMACIÓN PROFESIONAL BÁSICA, PROGRAMA FORMATIVO DE CUALIFICACIÓN BÁSICA, CICLOS FORMATIVOS DE GRADO MEDIO, GRADO SUPERIOR Y CURSOS DE ESPECIALIZACIÓN FP, CURSO 2025-2026","CONVOCATÒRIA D'AJUDES A L'ESTUDI DE BATXILLERAT, FORMACIÓ PROFESSIONAL BÀSICA, PROGRAMA FORMATIU DE QUALIFICACIÓ BÀSICA, CICLES FORMATIUS DE GRAU MITJÀ, GRAU SUPERIOR I CURSOS D'ESPECIALITZACIÓ FP, CURS 2025-2026"
886289,NO,LOCAL,TAUSTE,AYUNTAMIENTO DE TAUSTE,10/02/2026,CONVOCATORIA PARA EL CONCURSO DE DISFRACES DEL CARNAVAL AÑO 2026 EN TAUSTE,
886288,NO,LOCAL,JACARILLA,AYUNTAMIENTO DE JACARILLA,10/02/2026,"EXPTE. 835/2025 RESOLUCIÓN DE ALCALDÍA 2025-0729 POR LA QUE SE REALIZA LA CONCESIÓN DIRECTA DE SUBVENCIÓN A LEANDRO POGGI GRACIA, CONFORME AL ARTICULO 22.2 A) DE LA LEY 38/2003 GENERAL DE SUBVENCIONES",
886287,NO,LOCAL,TORRE-PACHECO,AYUNTAMIENTO DE TORRE-PACHECO,10/02/2026,"CONVENIO DE COLABORACIÓN ENTRE EL AYUNTAMIENTO DE TORRE PACHECO Y LA ASOCIACION CULTURAL AGRUPACIÓN MUSICAL DE RONDALLA, NTRA. SRA. DEL ROSARIO DE TORRE PACHECO, AÑO 2025",
886286,NO,LOCAL,BENALMÁDENA,AYUNTAMIENTO DE BENALMÁDENA,10/02/2026,Convocatoria instrumental de Prácticas no Laborales en Empresa en el marco del Programa de Experiencias profesionales para el Empleo,
886285,NO,LOCAL,TOMELLOSO,AYUNTAMIENTO DE TOMELLOSO,10/02/2026,XXXVI Concurso-exposición de artes plásticas del CEM 2026,
886284,NO,LOCAL,TORRE-PACHECO,AYUNTAMIENTO DE TORRE-PACHECO,10/02/2026,"CONVENIO DE COLABORACIÓN ENTRE EL AYUNTAMIENTO DE TORRE PACHECO Y EL GRUPO DE COROS Y DANZAS VIRGEN DEL ROSARIO DE TORRE PACHECO, AÑO 2025",
886283,NO,LOCAL,ALCALÁ DE HENARES,AYUNTAMIENTO DE ALCALÁ DE HENARES,10/02/2026,"Acuerdo de la Junta de Gobierno Local 23-01-2026, por el que se aprueban las Bases de la Convocatoria del XXXV Certamen de Poesía José Chacón. Edición 2026.",
886282,NO,LOCAL,TORRE-PACHECO,AYUNTAMIENTO DE TORRE-PACHECO,10/02/2026,"CONVENIO DE COLABORACIÓN ENTRE EL AYUNTAMIENTO DE TORRE PACHECO Y LA ASOCIACION MURCIANA PARA EL ESTUDIO DE LA PALEOANTROPOLOGÍA Y EL CUATERNARIO (ASOCIACIÓN MUPANTQUAT), AÑO 2025",
886281,NO,LOCAL,TORRENT,AYUNTAMIENTO DE TORRENT,10/02/2026,Concurso de dibujo "Mi papá es..." 2026,Concurs de dibuix "El meu papà és..." 2026
886280,NO,LOCAL,TERRASSA,AJUNTAMENT DE TERRASSA,10/02/2026,"Decreto 3730/2026, del 6 de febrero, de la concejala de Capacidades Diversas y Accesibilidad, por la que se convocan subvenciones para la mejora de la accesibilidad universal de los edificios de viviendas para el año 2026.","Decret número 3730/2026, del 6 de febrer, de la regidora de Capacitats Diverses i Accessibilitat, pel que s’obre la convocatòria per a la concessió de subvencions adreçades a la millora de l’accessibilitat universal dels edificis d’habitatges per a l’any"
886279,NO,AUTONOMICA,CASTILLA Y LEÓN,GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN,10/02/2026,"Acuerdo de 27 de Noviembre de 2025, de la junta de castilla y león, por el que se autoriza la concesión directa de subvenciones a las familias desalojadas de las viviendas en las localidades afectadas por los incendios forestales en el verano de 2025.",
886278,NO,LOCAL,VILLAVICIOSA,AYUNTAMIENTO DE VILLAVICIOSA,10/02/2026,Convenio de colaboración para la promoción y desarrollo de la Escuela de Música Tradicional de la Banda de Gaites Villaviciosa-El Gaitero,
886277,NO,AUTONOMICA,COMUNIDAD DE MADRID,"CONSEJERÍA DE CULTURA, TURISMO Y DEPORTE",10/02/2026,SUBVENCIÓN NOMINATIVA 2026 - VOLEIBOL,
886276,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,10/02/2026,Ayudas para la realización de Proyectos de Investigación UAH 2026,
886275,NO,AUTONOMICA,CASTILLA Y LEÓN,GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN,10/02/2026,"Acuerdo de 20 de noviembre  de 2025, de la junta de castilla y león, por el que se autoriza la concesión directa de subvenciones a las familias desalojadas de las viviendas en las localidades afectadas por los incendios forestales en el verano de 2025.",Concesión de ayuda de 500 euros  por la Comunidad de Castilla y León a los afectados por los incendios de agosto de 2025
886274,NO,LOCAL,JACARILLA,AYUNTAMIENTO DE JACARILLA,10/02/2026,"EXPTE. 815/2025 RESOLUCIÓN DE ALCALDÍA 2025-0667 POR LA QUE SE REALIZA LA CONCESIÓN DIRECTA DE SUBVENCIÓN A LA ASOCIACIÓN SPORTING JACARILLA CF, CONFORME AL ARTÍCULO 22.2 A) DE LA LEY 38/2003 DE 17 DE NOVIEMBRE GENERAL DE SUBVENCIONES.",
886273,NO,LOCAL,SANT LLORENÇ D'HORTONS,AYUNTAMIENTO DE SANT LLORENÇ D'HORTONS,10/02/2026,ASIGNACIONES A LOS GRUPOS POLÍTICOS MUNICIPALES - LEGISLATURA 2023-2027 - AÑO 2025,
886272,NO,LOCAL,"BONILLO, EL","AYUNTAMIENTO DE BONILLO, EL",10/02/2026,XV CERTAMEN INTERNACIONAL DE POESÍA YOLANDA SÁENZ DE TEJADA,
